Year,week,0
2018,44,52.71493212669684
2018,45,34.61538461538461
2018,46,27.828054298642535
2018,47,22.850678733031675
2018,48,59.95475113122172
2018,49,34.841628959276015
2018,50,39.14027149321267
2018,51,36.425339366515836
2018,52,7.692307692307692
2019,0,15.41038525963149
2019,1,44.221105527638194
2019,2,29.480737018425458
2019,3,56.951423785594635
2019,4,31.490787269681743
2019,5,63.31658291457287
2019,6,44.38860971524288
2019,7,26.968174204355112
2019,8,18.592964824120603
2019,9,42.04355108877722
2019,10,40.871021775544385
2019,11,100.0
2019,12,35.00837520938023
2019,13,33.50083752093802
2019,14,29.145728643216078
2019,15,30.15075376884422
2019,16,32.49581239530988
2019,17,41.70854271356784
2019,18,31.993299832495815
2019,19,31.993299832495815
2019,20,28.8107202680067
2019,21,36.85092127303183
2019,22,38.358458961474035
2019,23,43.21608040201005
2019,24,58.458961474036855
2019,25,39.86599664991625
2019,26,33.66834170854271
2019,27,33.66834170854271
2019,28,31.658291457286435
2019,29,37.185929648241206
2019,30,49.07872696817421
2019,31,25.628140703517587
2019,32,46.56616415410385
2019,33,33.33333333333333
2019,34,55.61139028475712
2019,35,34.17085427135678
2019,36,35.678391959798994
2019,37,67.33668341708542
2019,38,42.3785594639866
2019,39,40.7035175879397
2019,40,28.30820770519263
2019,41,35.845896147403685
2019,42,27.1356783919598
2019,43,27.63819095477387
2019,44,34.50586264656616
2019,45,68.00670016750419
2019,46,51.92629815745394
2019,47,42.54606365159129
2019,48,31.490787269681743
2019,49,51.08877721943049
2019,50,43.55108877721943
2019,51,41.70854271356784
2019,52,11.892797319932997
2020,0,16.11111111111111
2020,1,44.81481481481481
2020,2,68.88888888888889
2020,3,100.0
2020,4,28.14814814814815
2020,5,44.07407407407407
2020,6,45.925925925925924
2020,7,67.22222222222223
2020,8,30.37037037037037
2020,9,49.629629629629626
2020,10,40.55555555555556
2020,11,25.74074074074074
2020,12,38.333333333333336
2020,13,36.48148148148148
2020,14,30.555555555555554
2020,15,34.629629629629626
2020,16,27.222222222222225
2020,17,41.48148148148148
2020,18,32.96296296296296
2020,19,42.407407407407405
2020,20,31.111111111111107
2020,21,31.111111111111107
2020,22,63.33333333333333
2020,23,44.99999999999999
2020,24,51.48148148148148
2020,25,46.851851851851855
2020,26,46.851851851851855
2020,27,51.48148148148148
2020,28,46.48148148148149
2020,29,57.407407407407405
2020,30,37.96296296296296
2020,31,52.407407407407405
2020,32,61.48148148148148
2020,33,55.55555555555556
2020,34,34.629629629629626
2020,35,57.03703703703704
2020,36,42.59259259259259
2020,37,26.666666666666668
2020,38,47.03703703703704
2020,39,47.962962962962955
2020,40,73.14814814814814
2020,41,45.925925925925924
